iter	RMSE
0	125.9237178
1	116.511451
2	108.2018675
3	100.9704559
4	94.43334904
5	88.52397463
6	83.5065298
7	79.12120296
8	75.18340254
9	71.54155171
10	68.51307847
11	65.88289603
12	63.54356537
13	61.45991775
14	59.73905747
15	58.14476511
16	56.79764842
17	55.58799791
18	54.64751757
19	53.66921912
20	52.89871936
21	52.28728794
22	51.63237293
23	51.00692545
24	50.54547806
25	50.11356727
26	49.71638386
27	49.38105388
28	49.0003716
29	48.70724259
30	48.40779253
31	48.08407728
32	47.82511775
33	47.61526145
34	47.39487667
35	47.21881615
36	47.06906752
37	46.91388035
38	46.69165905
39	46.48152582
40	46.32415237
41	46.19782138
42	46.06803018
43	45.92646185
44	45.75962659
45	45.69092365
46	45.61284727
47	45.41924624
48	45.26776553
49	45.11943592
