iter	Passed	Remaining
0	139	6839
1	146	3513
2	152	2388
3	157	1810
4	162	1461
5	167	1226
6	171	1056
7	175	923
8	179	819
9	184	738
10	188	668
11	192	609
12	196	559
13	201	516
14	205	479
15	209	444
16	213	414
17	218	387
18	222	362
19	226	339
20	230	317
21	234	298
22	238	280
23	242	262
24	247	247
25	251	232
26	255	217
27	260	204
28	264	191
29	268	179
30	272	167
31	276	155
32	281	145
33	286	135
34	291	124
35	296	115
36	300	105
37	305	96
38	309	87
39	313	78
40	317	69
41	320	61
42	324	52
43	329	44
44	332	36
45	337	29
46	341	21
47	345	14
48	349	7
49	353	0
